YEAR,BEST ORIGINAL SONG,URI,WON (yes=1 no=0),Notes,Lyrics
2019,(I'm Gonna) Love Me Again,1q8lLOgfciaGLwXCvOpH6w,1,,"Oh, the joke was never hard to tell
Threw my spare change in the wishing well
The dream alone is always in your hands
If that don't fill the boy and build the man
A heart has many secrets, so I'm told
Through the years, a theory can grow cold
I'm up to be the king, it's gotten clear
The voice inside my head is the one I hear
Singing, I'm gonna love me again
Check in on my very best friend
Find the wind to fill my sails
Rise above the broken rails
Unbound by any ties that break or bend
I'm free, and don't you know?
No clown to claim he used to know me then
I'm free, and don't you know?
And oh-oh-oh, I'm gonna love me again
The golden age was somehow bittersweet
But now the past lies sleepin' in the deep
The peaceful days that followed hollow nights
A kiss or touch could feel like Kryptonite
Praise the Saints that hung up on my wall
For trust is left in lovers after all
A whispered word emergin' from a tale
My wake-up call to claim the cursed spell
Well, I'm gonna love me again (love me again)
Check in on my very best friend
Find the wind to fill my sails
Rise above the broken rails
Unbound by any ties that break or bend
I'm free, and don't you know?
No clown to claim he used to know me then
I'm free, and don't you know?
And oh-oh-oh, I'm gonna love me again
Sing, I'm gonna love me again
Check in on my very best friend
Find the wind to fill my sails
Rise above the broken rails
Unbound by any ties that break or bend
I'm free, and don't you know?
No clown to claim he used to know me then
I'm free, don't you know?
And oh-oh-oh, oh-oh-oh
Oh-oh-oh, I'm gonna love me again
I'm gonna love me again
I'm gonna love me again"
2019,I'm Standing With You,7AlVjh1sSW5PLtqhoNgHPP,0,,"When your hurting, I want you to know
That you'll never have to hurt alone
When your faith is, faith is running low
I'll never lose faith in you
When the night surrounds you
And you think that no one cares about you
I will go and throw my arms around you
I'll be there
Through whatever you go through
I'm standin' with you
Here wherever you go to
I'll stand beside you
And when you think that all the odds are all against you
And you just feel like giving up, well, I won't let you
Through whatever you go through
I'm standing with you
I'm standing with you
We all got time's when we can't be strong
When it feels like, like all hope is gone
But I'm right here, right here to lean on
I'll always be strong for you
And when you're feeling broken
And it's seems like every door is closing
Want you to know that mine is always open
I'll be there
Through whatever you go through
I'm standin' with you
Here wherever you go to (You go to)
I'll stand beside you
And when you think that all the odds are all against you
And you just feel like giving up, well, I won't let you
Through whatever you go through (You go through)
I'm standing with you
I'm standing with you
Nothing you can do can move me
You can try, but you can't lose me
You can't lose me
Through whatever you go through
I'm standing with you
And wherever you go to (You go to), I'll stand beside you
And when you think that all the odds are all against you
And you just feel like giving up, well, I won't let you
Through whatever you go through (through whatever you go through)
I'm standing with you
(I'm standing)
I'm standing with you (I'm standing)
I'm standing with you (I'm standing)
I'm standing with you (I'm standing)
(I'm standing)
I'm standing with you (I'm standing)
I'm standing, with you, with you (I'm standing)
(I'm standing)
I'm standing with you"
2019,Into the Unknown,3Z0oQ8r78OUaHvGPiDBR3W,0,,"Into the unknown
Into the unknown
Into the unknown
(Oh)
I can hear you but I won't
Some look for trouble while others don't
There's a thousand reasons I should go about my day
And ignore your whispers which I wish would go away, oh
Whoa
You're not a voice, you're just a ringing in my ear
And if I heard you, which I don't, I'm spoken for I fear
Everyone I've ever loved is here within these walls
I'm sorry, secret siren, but I'm blocking out your calls
I've had my adventure, I don't need something new
I'm afraid of what I'm risking if I follow you
Into the unknown
Into the unknown
Into the unknown
(Oh)
(Oh)
What do you want? 'Cause you've been keeping me awake
Are you here to distract me so I make a big mistake?
Or are you someone out there who's a little bit like me?
Who knows deep down I'm not where I'm meant to be?
Every day's a little harder as I feel your power grow
Don't you know there's part of me that longs to go
Into the unknown?
Into the unknown
Into the unknown
(Oh)
(Oh)
Whoa
Are you out there?
Do you know me?
Can you feel me?
Can you show me?
ooh
(Ah) ooh
(Ah) ooh
(Ah) ooh
(Ah) ooh
(Ah) ooh
Where are you going? Don't leave me alone
How do I follow you
Into the unknown?
Woo!"
2019,Stand Up,0Ppjgu01pLU3iBVaXaPt3M,0,,"I been walkin'
With my face turned to the sun
Weight on my shoulders
A bullet in my gun
Oh, I got eyes in the back of my head
Just in case I have to run
I do what I can when I can while I can for my people
While the clouds roll back and the stars fill the night
That's when I'm gonna stand up
Take my people with me
Together we are going
To a brand new home
Far across the river
Can you hear freedom calling?
Calling me to answer
Gonna keep on keepin' on
I can feel it in my bones
Early in the mornin'
Before the sun begins to shine
We're gonna start movin'
Towards that separating line
I'm wadin' through muddy waters
You know I got a made up mind
And I don't mind if I lose any blood on the way to salvation
And I'll fight with the strength that I got until I die
So I'm gonna stand up
Take my people with me
Together we are going
To a brand new home
Far across the river
Can you hear freedom calling?
Calling me to answer
Gonna keep on keepin' on
And I know what's around the bend
Might be hard to face 'cause I'm alone
And I just might fail
But Lord knows I tried
Sure as stars fill up the sky
Stand up
Take my people with me
Together we are going
To a brand new home
Far across the river
Can you hear freedom calling?
Calling me to answer
Gonna keep on keepin' on
I'm gonna stand up
Take my people with me
Together we are going
To a brand new home
Far across the river
Do you hear freedom calling?
Calling me to answer
Gonna keep on keepin' on
I'm gonna stand up
Take my people with me
Together we are going
To a brand new home
Far across the river
I hear freedom calling
Calling me to answer
Gonna keep on keepin' on
I can feel it in my bones
I go to prepare a place for you
I go to prepare a place for you
I go to prepare a place for you
I go to prepare a place for you"
2019,I Can't Let You Throw Yourself Away,7tSODhfDkv0JEhkSMYSIBS,0,,"I can't let you, I can't let you
I can't let you throw yourself away
I can't let you (I can't let you) 
I can't let you (I can't let you)
I can't let you throw yourself away
Don't you wanna see the sun come up each morning?
Don't you wanna see the sun go down each day?
Don't you wanna see that little girl who loves you so?
Her heart would break if you should go
I can't let you, I can't let you
I can't let you throw yourself away
I can't let you (I can't let you)
I can't let you (I can't let you)
I can't let you throw yourself away
Son, it seems to me like you're never gonna behave yourself
Since I'm not gonna do this every day
Come tomorrow, you're gonna have to save yourself
Got nothing more to say, you're not listening anyway
I can't let you (I can't let you) 
I can't let you (I can't let you)
I can't let you throw yourself away
I can't let you (I can't let you) 
I can't let you (I can't let you)
I can't let you throw yourself away
I can't let you 
I can't let you 
I can't let you throw yourself away
I can't let you (I can't let you) 
I can't let you (I can't let you)
I can't let you throw yourself away"
2018,Shallow,2VxeLyX666F8uXCJ0dZF8B,1,,"Tell me somethin', girl
Are you happy in this modern world?
Or do you need more?
Is there somethin' else you're searchin' for?
I'm falling
In all the good times I find myself
Longin' for change
And in the bad times I fear myself
Tell me something, boy
Aren't you tired tryin' to fill that void?
Or do you need more?
Ain't it hard keeping it so hardcore?
I'm falling
In all the good times I find myself
Longing for change
And in the bad times I fear myself
I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface, where they can't hurt us
We're far from the shallow now
In the shallow, shallow
In the shallow, shallow
In the shallow, shallow
We're far from the shallow now
Oh, oh, oh, oh
Whoah!
I'm off the deep end, watch as I dive in
I'll never meet the ground
Crash through the surface, where they can't hurt us
We're far from the shallow now
In the shallow, shallow
In the shallow, shallow
In the shallow, shallow
We're far from the shallow now"
2018,When a Cowboy Trades His Spurs for Wings,4uoYksfELX8RKYJYZQael4,0,,"Let me tell you, buddy
There's a faster gun
Coming over yonder
When tomorrow comes
Let me tell you, buddy
And it won't be long
Till you find yourself singing
Your last cowboy song
Yippee-ki-iy-ay
When the round-up ends
Yippee-ki-iy-ay
And the campfire dims
Yippee-ki-iy-ay
He shouts and he sings
When a cowboy trades his spurs for wings
When they wrap my body
In the thin linen sheet
And they take my six irons
Pull the boots from my feet
Unsaddle my pony
She'll be itching to roam
I'll be halfway to heaven
Under horsepower of my own
Yippee-ki-iy-ay
When the round-up ends
Yippee-ki-iy-ay
And the campfire dims
Yippee-ki-iy-ay
He shouts and he sings
When a cowboy trades his spurs for wings
Yippee-ki-iy-ay
I'm glory-bound
No more jingle jangle
I lay my guns down
Yippee-ki-iy-ay
He shouts and he sings
When a cowboy trades his spurs for wings"
2018,All the Stars,3GCdLUSnKSMJhs4Tj6CV3s,0,,"Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you?
I know the feeling haunt you
This maybe the night that my dreams might let me know
All the stars are closer, all the stars are closer, all the stars are closer
This maybe the night that my dreams might let me know
All the stars are closer, all the stars are closer, all the stars are closer
Tell me what you gon' do to me
Confrontation ain't nothin' new to me
You can bring a bullet, bring a sword
Bring a morgue, but you can't bring the truth to me
Fuck you and all your expectations
I don't even want your congratulations
I recognize your false confidence and calculated promises all in your conversation
I hate people that feel entitled
Look at me crazy 'cause I ain't invite you
Oh, you important?
You the moral to the story, you endorsing?
Motherfucker, I don't even like you
Corrupt a man's heart with a gift
That's how you find out who you dealin' with
A small percentage, who I'm building with
I want the credit if I'm losing or I'm winning
On my momma that's the realest shit
Girl, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you?
I know the feeling haunt you
This maybe the night that my dreams might let me know
All the stars are closer, all the stars are closer, all the stars are closer
This maybe the night that my dreams might let me know
All the stars are closer, all the stars are closer, all the stars are closer
Skin covered in ego
Get to talkin', like ya involved, like a rebound
No control, no off switch and the way that you bringin' me down
It's a turn on, get it away from me
Know you mean wrong, keep away from me
And it's all wrong, get it away from me, yeah
I just cry for no reason, I just pray for no reason
I just thank for the life, for the day, for the hours and another life breathin'
I did it all 'cause it feel good
You could live it all if you feel bad
Better live your life
We are running out of time
Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you?
I know the feeling haunt you
This maybe the night that my dreams might let me know
All the stars are closer, all the stars are closer, all the stars are closer
This maybe the night that my dreams might let me know
All the stars are closer, all the stars are closer, all the stars are closer"
2018,The Place Where Lost Things Go,6BK8BcFxMFr3JVUaAOZsYC,0,,"Do you ever lie
Awake at night?
Just between the dark
And the morning light
Searching for the things
You used to know
Looking for the place
Where the lost things go
Do you ever dream
Or reminisce?
Wondering where to find
What you truly miss
Well maybe all those things
That you love so
Are waiting in the place
Where the lost things go
Memories you've shed
Gone for good you feared
They're all around you still
Though they've disappeared
Nothing's really left
Or lost without a trace
Nothing's gone forever
Only out of place
So maybe now the dish
And my best spoon
Are playing hide and seek
Just behind the moon
Waiting there until
It's time to show
Spring is like that now
Far beneath the snow
Hiding in the place
Where the lost things go
Time to close your eyes
So sleep can come around
For when you dream you'll find
All that's lost is found
Maybe on the moon
Or maybe somewhere new
Maybe all you're missing lives inside of you
So when you need her touch
And loving gaze
Gone but not forgotten
Is the perfect phrase
Smiling from a star
That she makes glow
Trust she's always there
Watching as you grow
Find her in the place
Where the lost things go"
2018,I'll Fight,7ELxtyrasiOfwsRUJiEMGR,0,,"When you feel you're taking all that you can take
And you're sure you're never gonna catch a break
And the tears are rivers running down your face, yeah
When your faith is low and you've got no strength left
When you think you've gone as far as you can get
And you're too undone to take another step
Oh I will take up the struggle
Oh I know it's a fight
So I'll fight, fight that war for you
I'll fight, stand and defend you
Take your side, that's what I'm here to do
I'll be there to be strong
Oh I'll keep on, keep on the fight
When it's dangerous, takes another piece of you
Everybody takes all they can get from you
Till you're left with almost nothing left of you
When each night is like a battle you can't win
And the pain is like a weight you're carrying
I will be the one to help you carry it
Oh I will take all your troubles
Oh I know it's a fight
So I'll fight, fight that war for you
I'll fight, stand and defend you
Take your side, that's what I'm here to do
I'll be there to be strong
Oh I'll keep on, keep on the fight
I'll help your back when your backs to the wall
I'll catch the tears when your tears fall
I will give it all I won't give up the fight
So I'll fight, fight that war for you
I'll fight, stand and defend you
Take your side, that's what I'm here to do
I'll be there to be strong
Oh I'll keep on, keep on the fight
I'll fight, fight that war for you
I'll fight, stand and defend you
Take your side, take your side, take your side
That's what I'm here to do
I'll be there to be strong
(I'll be there, I'll be strong)
Oh I'll keep on, keep on the fight
I'll fight, I'll fight"
2017,Remember Me,4ljlAxfaEjO4Q4g9FMtVj4,1,,"
Remember me, though I have to say goodbye
Remember me, don't let it make you cry
For even if I'm far away I hold you in my heart
I sing a secret song to you each night we are apart
Remember me, though I have to travel far
Remember me, each time you hear a sad guitar
Know that I’m with you the only way that I can be
Until you’re in my arms again
Remember me
May our song never stop beating
only with your love I can exist
Remember me
May our song never stop beating
only with your love I can exist
Remember me, If In your mind alive I am
Remember me, my dreams I give you
I carry you in my heart and I'll accompany you
United in our song, with you I'll be there
Remember me, if you think you're alone
remember me, and my singing is gonna embrace you
Even In the distance you're never gonna forget, the fact that I'll be always with you
 

If you close your eyes and let the music play
Keep our love alive, I'll never fade away
If you close your eyes and let the music play
Keep our love alive, I'll never fade away
If you close your eyes and let the music play
Keep our love alive, I'll never fade away
Remember me, for I will soon be gone
Remember me, and let the love we have live on
And know that I'm with you the only way that I can be
So, until you're in my arms again
Remember me
May our song never stop beating
only with your love I can exist
Remember me
May our song never stop beating
only with your love I can exist"
2017,Mystery of Love,0MNNKSUU9OOQ8DSGWduw79,0,,"Oh, to see without my eyes
The first time that you kissed me
Boundless by the time I cried
I built your walls around me
White noise, what an awful sound
Fumbling by Rogue River
Feel my feet above the ground
Hand of God, deliver me
Oh, oh woe-oh-woah is me
The first time that you touched me
Oh, will wonders ever cease?
Blessed be the mystery of love
Lord, I no longer believe
Drowned in living waters
Cursed by the love that I received
From my brother's daughter
Like Hephaestion, who died
Alexander's lover
Now my riverbed has dried
Shall I find no other?
Oh, oh woe-oh-woah is me
I'm running like a plover
Now I'm prone to misery
The birthmark on your shoulder reminds me
How much sorrow can I take?
Blackbird on my shoulder
And what difference does it make
When this love is over?
Shall I sleep within your bed
River of unhappiness
Hold your hands upon my head
'Til I breathe my last breath
Oh, oh woe-oh-woah is me
The last time that you touched me
Oh, will wonders ever cease?
Blessed be the mystery of love"
